setup	accuracy
Transfer	0.40170357751277685
Transfer	0.41630104623692205
Transfer	0.3700373260943332
Transfer	0.6739811912225705
Transfer	0.5221518987341772
Transfer	0.7172413793103448
Transfer	0.7379310344827587
Transfer	0.7310344827586207
Transfer	0.5655172413793104
Transfer	0.16551724137931034
Transfer	0.1793103448275862
Transfer	0.8896551724137931
Transfer	0.2827586206896552
Transfer	0.7034482758620689
Transfer	0.6068965517241379
Transfer	0.7241379310344828
Transfer	0.7724137931034483
Transfer	0.7931034482758621
Transfer	0.7655172413793103
Transfer	0.7103448275862069
Transfer	0.9379310344827586
Transfer	0.9103448275862069
Transfer	0.903448275862069
Transfer	0.6068965517241379
Transfer	0.8137931034482758
Transfer	0.8206896551724138
Transfer	0.6275862068965518
